complexity,loss,equation,score,sympy_format,lambda_format
17,21.66399,((sqrt(x26) - sqrt(x59)) + (((x64 + sqrt(x28)) - sqrt(x61)) * 1.9134195)) / 0.73015153,0.011260818862686492,1.36957872292618*sqrt(x26) + 2.62057863523206*sqrt(x28) - 1.36957872292618*sqrt(x59) - 2.62057863523206*sqrt(x61) + 2.62057863523206*x64,PySRFunction(X=>1.36957872292618*sqrt(x26) + 2.62057863523206*sqrt(x28) - 1.36957872292618*sqrt(x59) - 2.62057863523206*sqrt(x61) + 2.62057863523206*x64)
18,21.055197,sqrt(x26) - ((((sqrt(x28) + x64) - sqrt(x61)) + ((x59 - x19) * -0.18573344)) * -2.7499788),0.02850401711696513,0.510763022451072*x19 + sqrt(x26) + 2.7499788*sqrt(x28) - 0.510763022451072*x59 - 2.7499788*sqrt(x61) + 2.7499788*x64,PySRFunction(X=>0.510763022451072*x19 + sqrt(x26) + 2.7499788*sqrt(x28) - 0.510763022451072*x59 - 2.7499788*sqrt(x61) + 2.7499788*x64)
19,20.76761,(((x64 + (sqrt(x28) - sqrt(x61))) * 2.585651) + sqrt(x22)) - ((x59 * 0.57702523) - sqrt(x26)),0.013752856562766461,sqrt(x22) + sqrt(x26) + 2.585651*sqrt(x28) - 0.57702523*x59 - 2.585651*sqrt(x61) + 2.585651*x64,PySRFunction(X=>sqrt(x22) + sqrt(x26) + 2.585651*sqrt(x28) - 0.57702523*x59 - 2.585651*sqrt(x61) + 2.585651*x64)
20,20.261532,sqrt(x26) - ((((x64 + sqrt(x28)) - sqrt(x61)) * -2.5182333) + ((x55 + (x59 - x22)) * 0.31667113)),0.02467044851376597,0.31667113*x22 + sqrt(x26) + 2.5182333*sqrt(x28) - 0.31667113*x55 - 0.31667113*x59 - 2.5182333*sqrt(x61) + 2.5182333*x64,PySRFunction(X=>0.31667113*x22 + sqrt(x26) + 2.5182333*sqrt(x28) - 0.31667113*x55 - 0.31667113*x59 - 2.5182333*sqrt(x61) + 2.5182333*x64)
21,19.85282,(((sqrt(x28) + (x64 - sqrt(x61))) * 2.560934) + sqrt(x22)) - (sqrt(x54) + (sqrt(x59) - sqrt(x26))),0.020378050406949993,sqrt(x22) + sqrt(x26) + 2.560934*sqrt(x28) - sqrt(x54) - sqrt(x59) - 2.560934*sqrt(x61) + 2.560934*x64,PySRFunction(X=>sqrt(x22) + sqrt(x26) + 2.560934*sqrt(x28) - sqrt(x54) - sqrt(x59) - 2.560934*sqrt(x61) + 2.560934*x64)
22,19.272203,sqrt(x26) - ((0.39168897 * ((x59 + (x55 - x22)) - x19)) + ((x64 + (sqrt(x28) - sqrt(x61))) * -2.586687)),0.029682263860587508,0.39168897*x19 + 0.39168897*x22 + sqrt(x26) + 2.586687*sqrt(x28) - 0.39168897*x55 - 0.39168897*x59 - 2.586687*sqrt(x61) + 2.586687*x64,PySRFunction(X=>0.39168897*x19 + 0.39168897*x22 + sqrt(x26) + 2.586687*sqrt(x28) - 0.39168897*x55 - 0.39168897*x59 - 2.586687*sqrt(x61) + 2.586687*x64)
23,19.029188,sqrt(x22) - ((((sqrt(x28) + x64) - sqrt(x61)) * -2.6567621) + ((0.44818088 * ((x55 + x59) - x18)) - sqrt(x26))),0.012689787745018177,0.44818088*x18 + sqrt(x22) + sqrt(x26) + 2.6567621*sqrt(x28) - 0.44818088*x55 - 0.44818088*x59 - 2.6567621*sqrt(x61) + 2.6567621*x64,PySRFunction(X=>0.44818088*x18 + sqrt(x22) + sqrt(x26) + 2.6567621*sqrt(x28) - 0.44818088*x55 - 0.44818088*x59 - 2.6567621*sqrt(x61) + 2.6567621*x64)
24,18.605005,sqrt(x22) - (((x64 + (sqrt(x28) - sqrt(x61))) * -2.6567621) + ((((x59 + x55) * 0.44818088) - sqrt(x18)) - sqrt(x26))),0.022543380384920823,sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.6567621*sqrt(x28) - 0.44818088*x55 - 0.44818088*x59 - 2.6567621*sqrt(x61) + 2.6567621*x64,PySRFunction(X=>sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.6567621*sqrt(x28) - 0.44818088*x55 - 0.44818088*x59 - 2.6567621*sqrt(x61) + 2.6567621*x64)
25,18.408283,sqrt(x22) - (((((sqrt(x28) - sqrt(x61)) + x64) * -2.6392636) + ((x51 + ((x59 + x55) - x18)) * 0.3016552)) - sqrt(x26)),0.01062990417807755,0.3016552*x18 + sqrt(x22) + sqrt(x26) + 2.6392636*sqrt(x28) - 0.3016552*x51 - 0.3016552*x55 - 0.3016552*x59 - 2.6392636*sqrt(x61) + 2.6392636*x64,PySRFunction(X=>0.3016552*x18 + sqrt(x22) + sqrt(x26) + 2.6392636*sqrt(x28) - 0.3016552*x51 - 0.3016552*x55 - 0.3016552*x59 - 2.6392636*sqrt(x61) + 2.6392636*x64)
26,18.055428,sqrt(x22) - ((((x55 + (x51 + x59)) * 0.3274344) + (((x64 + (sqrt(x28) - sqrt(x61))) * -2.6422021) - sqrt(x18))) - sqrt(x26)),0.019354366572199525,sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.6422021*sqrt(x28) - 0.3274344*x51 - 0.3274344*x55 - 0.3274344*x59 - 2.6422021*sqrt(x61) + 2.6422021*x64,PySRFunction(X=>sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.6422021*sqrt(x28) - 0.3274344*x51 - 0.3274344*x55 - 0.3274344*x59 - 2.6422021*sqrt(x61) + 2.6422021*x64)
27,17.94488,sqrt(x22) - (((sqrt(x59) + (((x55 + x51) * 0.29083186) - sqrt(x18))) - sqrt(x26)) + (((sqrt(x28) + x64) - sqrt(x61)) * -2.592701)),0.006141522315492328,sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.592701*sqrt(x28) - 0.29083186*x51 - 0.29083186*x55 - sqrt(x59) - 2.592701*sqrt(x61) + 2.592701*x64,PySRFunction(X=>sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.592701*sqrt(x28) - 0.29083186*x51 - 0.29083186*x55 - sqrt(x59) - 2.592701*sqrt(x61) + 2.592701*x64)
28,17.757156,sqrt(x22) - ((((((x64 + sqrt(x28)) - sqrt(x61)) * -2.687769) + (((x51 + (x55 + x59)) * 0.34591305) - x65)) - sqrt(x18)) - sqrt(x26)),0.010516247871852236,sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.687769*sqrt(x28) - 0.34591305*x51 - 0.34591305*x55 - 0.34591305*x59 - 2.687769*sqrt(x61) + 2.687769*x64 + x65,PySRFunction(X=>sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.687769*sqrt(x28) - 0.34591305*x51 - 0.34591305*x55 - 0.34591305*x59 - 2.687769*sqrt(x61) + 2.687769*x64 + x65)
29,17.695805,sqrt(x22) - ((((((sqrt(x28) + x64) - sqrt(x61)) * -2.7309813) + ((sqrt(x59) + ((x51 + x55) * 0.33470145)) - x65)) - sqrt(x18)) - sqrt(x26)),0.003460983766100555,sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.7309813*sqrt(x28) - 0.33470145*x51 - 0.33470145*x55 - sqrt(x59) - 2.7309813*sqrt(x61) + 2.7309813*x64 + x65,PySRFunction(X=>sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.7309813*sqrt(x28) - 0.33470145*x51 - 0.33470145*x55 - sqrt(x59) - 2.7309813*sqrt(x61) + 2.7309813*x64 + x65)
30,17.651371,sqrt(x22) - (((((x55 + x51) + x59) * 0.37156352) - x65) + (((((x64 - sqrt(x61)) + sqrt(x28)) * -2.727338) - sqrt(x18)) - sqrt(x26 * 1.5710993))),0.0025141484233644545,sqrt(x18) + sqrt(x22) + 1.25343500030915*sqrt(x26) + 2.727338*sqrt(x28) - 0.37156352*x51 - 0.37156352*x55 - 0.37156352*x59 - 2.727338*sqrt(x61) + 2.727338*x64 + x65,PySRFunction(X=>sqrt(x18) + sqrt(x22) + 1.25343500030915*sqrt(x26) + 2.727338*sqrt(x28) - 0.37156352*x51 - 0.37156352*x55 - 0.37156352*x59 - 2.727338*sqrt(x61) + 2.727338*x64 + x65)
31,17.541729,(sqrt(x22) - ((((sqrt(x28) + x64) - sqrt(x61)) * -2.7643304) + ((((sqrt(x59) + ((x51 + x55) * 0.29039395)) - x65) - sqrt(x18)) - sqrt(x26)))) + -0.6663812,0.00623090064412117,sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.7643304*sqrt(x28) - 0.29039395*x51 - 0.29039395*x55 - sqrt(x59) - 2.7643304*sqrt(x61) + 2.7643304*x64 + x65 - 0.6663812,PySRFunction(X=>sqrt(x18) + sqrt(x22) + sqrt(x26) + 2.7643304*sqrt(x28) - 0.29039395*x51 - 0.29039395*x55 - sqrt(x59) - 2.7643304*sqrt(x61) + 2.7643304*x64 + x65 - 0.6663812)
32,17.076416,(-2.7858021 - (((((x64 + sqrt(x28)) - sqrt(sqrt(x61))) * -3.3357894) + (((((x51 + x59) + x55) * 0.3885752) - sqrt(x20)) - sqrt(x18))) - sqrt(x26))) + sqrt(x22),0.02688422649612043,sqrt(x18) + sqrt(x20) + sqrt(x22) + sqrt(x26) + 3.3357894*sqrt(x28) - 0.3885752*x51 - 0.3885752*x55 - 0.3885752*x59 - 3.3357894*x61**(1/4) + 3.3357894*x64 - 2.7858021,PySRFunction(X=>sqrt(x18) + sqrt(x20) + sqrt(x22) + sqrt(x26) + 3.3357894*sqrt(x28) - 0.3885752*x51 - 0.3885752*x55 - 0.3885752*x59 - 3.3357894*x61**(1/4) + 3.3357894*x64 - 2.7858021)
33,16.92322,sqrt(x22) + (-2.7858021 - ((((sqrt(x28) + (x64 - sqrt(sqrt(x61)))) * -3.3357894) + (((((x59 + x55) * 0.4161737) + sqrt(x51)) - sqrt(x20)) - sqrt(x18))) - sqrt(x26))),0.009011686875642523,sqrt(x18) + sqrt(x20) + sqrt(x22) + sqrt(x26) + 3.3357894*sqrt(x28) - sqrt(x51) - 0.4161737*x55 - 0.4161737*x59 - 3.3357894*x61**(1/4) + 3.3357894*x64 - 2.7858021,PySRFunction(X=>sqrt(x18) + sqrt(x20) + sqrt(x22) + sqrt(x26) + 3.3357894*sqrt(x28) - sqrt(x51) - 0.4161737*x55 - 0.4161737*x59 - 3.3357894*x61**(1/4) + 3.3357894*x64 - 2.7858021)
35,16.809753,(sqrt(x22) + (x65 + -2.7112777)) - ((((sqrt(x51) - sqrt(x20)) + (((x59 + x55) * 0.4161737) - sqrt(x19))) - sqrt(x26)) + (((sqrt(x28) + x64) - sqrt(sqrt(x61))) * -3.4118102)),0.0033636948613546633,sqrt(x19) + sqrt(x20) + sqrt(x22) + sqrt(x26) + 3.4118102*sqrt(x28) - sqrt(x51) - 0.4161737*x55 - 0.4161737*x59 - 3.4118102*x61**(1/4) + 3.4118102*x64 + x65 - 2.7112777,PySRFunction(X=>sqrt(x19) + sqrt(x20) + sqrt(x22) + sqrt(x26) + 3.4118102*sqrt(x28) - sqrt(x51) - 0.4161737*x55 - 0.4161737*x59 - 3.4118102*x61**(1/4) + 3.4118102*x64 + x65 - 2.7112777)
39,16.706028,(sqrt(x22) + ((((x65 + sqrt(x19)) + (sqrt(sqrt(x27)) * 3.219899)) - sqrt(x59)) + (((x64 + ((sqrt(x28) + -0.5740641) - sqrt(x61))) * 2.9584787) - (x51 * 0.25731847)))) - (sqrt(x55) - (x61 * 0.22191626)),0.0015474103252464183,sqrt(x19) + sqrt(x22) + 3.219899*x27**(1/4) + 2.9584787*sqrt(x28) - 0.25731847*x51 - sqrt(x55) - sqrt(x59) - 2.9584787*sqrt(x61) + 0.22191626*x61 + 2.9584787*x64 + x65 - 1.69835641228467,PySRFunction(X=>sqrt(x19) + sqrt(x22) + 3.219899*x27**(1/4) + 2.9584787*sqrt(x28) - 0.25731847*x51 - sqrt(x55) - sqrt(x59) - 2.9584787*sqrt(x61) + 0.22191626*x61 + 2.9584787*x64 + x65 - 1.69835641228467)
41,16.609322,(((sqrt(x28) + (-0.5740641 - sqrt(x61))) + x64) * 2.9584787) + (((((x65 + (sqrt(x19) + sqrt(x22))) + ((sqrt(sqrt(x27)) * 2.9584787) - sqrt(x59))) - (x51 * 0.25731847)) - (sqrt(x55) - (x61 * 0.22191626))) * 1.1648),0.0029027541843079287,1.1648*sqrt(x19) + 1.1648*sqrt(x22) + 3.44603598976*x27**(1/4) + 2.9584787*sqrt(x28) - 0.299724553856*x51 - 1.1648*sqrt(x55) - 1.1648*sqrt(x59) - 2.9584787*sqrt(x61) + 0.258488059648*x61 + 2.9584787*x64 + 1.1648*x65 - 1.69835641228467,PySRFunction(X=>1.1648*sqrt(x19) + 1.1648*sqrt(x22) + 3.44603598976*x27**(1/4) + 2.9584787*sqrt(x28) - 0.299724553856*x51 - 1.1648*sqrt(x55) - 1.1648*sqrt(x59) - 2.9584787*sqrt(x61) + 0.258488059648*x61 + 2.9584787*x64 + 1.1648*x65 - 1.69835641228467)
43,16.583458,((((sqrt(x28) + (-0.5740641 - sqrt(x61))) + x64) * 2.9584787) + ((((((sqrt(x19) + sqrt(x22)) + x65) + ((sqrt(sqrt(x27)) * 2.9584787) - sqrt(x59))) - (x51 * 0.25731847)) - (sqrt(x55) - (x61 * 0.22191626))) * 1.1648)) / 0.9758625,0.000779205756027081,1.19361078020725*sqrt(x19) + 1.19361078020725*sqrt(x22) + 3.53127206933354*x27**(1/4) + 3.03165527930421*sqrt(x28) - 0.307138099738437*x51 - 1.19361078020725*sqrt(x55) - 1.19361078020725*sqrt(x59) - 3.03165527930421*sqrt(x61) + 0.264881640239276*x61 + 3.03165527930421*x64 + 1.19361078020725*x65 - 1.74036445942402,PySRFunction(X=>1.19361078020725*sqrt(x19) + 1.19361078020725*sqrt(x22) + 3.53127206933354*x27**(1/4) + 3.03165527930421*sqrt(x28) - 0.307138099738437*x51 - 1.19361078020725*sqrt(x55) - 1.19361078020725*sqrt(x59) - 3.03165527930421*sqrt(x61) + 0.264881640239276*x61 + 3.03165527930421*x64 + 1.19361078020725*x65 - 1.74036445942402)
44,16.572462,((sqrt(sqrt(x27)) * 3.2497237) + ((sqrt(x18) + ((sqrt(x23) + (x65 + ((((x64 + sqrt(x28)) - sqrt(x61)) + -0.61808044) * 3.5823255))) - (sqrt(x59 + x51) - sqrt(x28)))) - sqrt(x55))) - ((x61 * -0.3900422) - (x28 * -0.7210019)),0.0006632903205909242,sqrt(x18) + sqrt(x23) + 3.2497237*x27**(1/4) + 4.5823255*sqrt(x28) - 0.7210019*x28 - sqrt(x55) - 3.5823255*sqrt(x61) + 0.3900422*x61 + 3.5823255*x64 + x65 - sqrt(x51 + x59) - 2.21416532126322,PySRFunction(X=>sqrt(x18) + sqrt(x23) + 3.2497237*x27**(1/4) + 4.5823255*sqrt(x28) - 0.7210019*x28 - sqrt(x55) - 3.5823255*sqrt(x61) + 0.3900422*x61 + 3.5823255*x64 + x65 - sqrt(x51 + x59) - 2.21416532126322)
46,16.327812,((sqrt(x18) / 0.26828563) - (x18 - (((((sqrt(x28) + x64) - sqrt(x61)) * 4.5086484) - 2.415803) + ((sqrt(x22) - sqrt(x51)) - ((x61 / -1.2913715) - (x28 * -1.6353203)))))) + (((sqrt(sqrt(x27)) * 3.041981) - sqrt(x59)) + (x28 - sqrt(x55))),0.007436245349034827,3.72737071307174*sqrt(x18) - x18 + sqrt(x22) + 3.041981*x27**(1/4) + 4.5086484*sqrt(x28) - 0.6353203*x28 - sqrt(x51) - sqrt(x55) - sqrt(x59) - 4.5086484*sqrt(x61) + 0.77437050453723*x61 + 4.5086484*x64 - 2.415803,PySRFunction(X=>3.72737071307174*sqrt(x18) - x18 + sqrt(x22) + 3.041981*x27**(1/4) + 4.5086484*sqrt(x28) - 0.6353203*x28 - sqrt(x51) - sqrt(x55) - sqrt(x59) - 4.5086484*sqrt(x61) + 0.77437050453723*x61 + 4.5086484*x64 - 2.415803)
47,15.964348,((sqrt(x18) / 0.26428917) - (x18 - ((((sqrt(x22) - sqrt(x51)) - ((x61 / -1.4172182) - (x28 * -1.5867944))) + (((sqrt(x28) + x64) - sqrt(x61)) * 4.27903)) - sqrt(x57)))) + (((sqrt(sqrt(x27)) * 3.5174537) - sqrt(x59)) + (x28 - sqrt(x55))),0.022511925480764958,3.78373430890112*sqrt(x18) - x18 + sqrt(x22) + 3.5174537*x27**(1/4) + 4.27903*sqrt(x28) - 0.5867944*x28 - sqrt(x51) - sqrt(x55) - sqrt(x57) - sqrt(x59) - 4.27903*sqrt(x61) + 0.705607647432131*x61 + 4.27903*x64,PySRFunction(X=>3.78373430890112*sqrt(x18) - x18 + sqrt(x22) + 3.5174537*x27**(1/4) + 4.27903*sqrt(x28) - 0.5867944*x28 - sqrt(x51) - sqrt(x55) - sqrt(x57) - sqrt(x59) - 4.27903*sqrt(x61) + 0.705607647432131*x61 + 4.27903*x64)
49,15.6307745,(((((sqrt(x18) / 0.2644675) - (x18 - ((((sqrt(x28) + (x64 - sqrt(x61))) * 4.7836876) + ((sqrt(x22) - sqrt(x51)) - ((x61 / -1.246586) - (x28 * -1.7268)))) - sqrt(x57)))) + (sqrt(sqrt(x27)) * 3.635313)) - (x64 + sqrt(x59))) + x28) - sqrt(x55),0.01055814532385842,3.78118294308374*sqrt(x18) - x18 + sqrt(x22) + 3.635313*x27**(1/4) + 4.7836876*sqrt(x28) - 0.7268*x28 - sqrt(x51) - sqrt(x55) - sqrt(x57) - sqrt(x59) - 4.7836876*sqrt(x61) + 0.802190943905996*x61 + 3.7836876*x64,PySRFunction(X=>3.78118294308374*sqrt(x18) - x18 + sqrt(x22) + 3.635313*x27**(1/4) + 4.7836876*sqrt(x28) - 0.7268*x28 - sqrt(x51) - sqrt(x55) - sqrt(x57) - sqrt(x59) - 4.7836876*sqrt(x61) + 0.802190943905996*x61 + 3.7836876*x64)
51,15.436033,(sqrt(sqrt(x27)) * 3.5610268) + ((((x28 - sqrt(x55)) + sqrt(x18 / 0.069186464)) - (x18 - ((((sqrt(x28) + (x64 - sqrt(x61))) * 5.6853228) + ((sqrt(x22) - sqrt(x51)) - ((x61 / -0.84158546) - (x28 * -2.127702)))) - sqrt(x57)))) - ((x64 + x64) + sqrt(x59))),0.006268556908198122,3.80180145390104*sqrt(x18) - x18 + sqrt(x22) + 3.5610268*x27**(1/4) + 5.6853228*sqrt(x28) - 1.127702*x28 - sqrt(x51) - sqrt(x55) - sqrt(x57) - sqrt(x59) - 5.6853228*sqrt(x61) + 1.18823345640976*x61 + 3.6853228*x64,PySRFunction(X=>3.80180145390104*sqrt(x18) - x18 + sqrt(x22) + 3.5610268*x27**(1/4) + 5.6853228*sqrt(x28) - 1.127702*x28 - sqrt(x51) - sqrt(x55) - sqrt(x57) - sqrt(x59) - 5.6853228*sqrt(x61) + 1.18823345640976*x61 + 3.6853228*x64)
53,15.269034,((x28 - sqrt(x55)) + (sqrt(x18 / 0.069186464) - (x18 - ((((sqrt(x22) - sqrt(x51)) - ((x61 / -0.84089136) - (x28 * -2.2065065))) - sqrt(x57)) + ((x64 + (sqrt(x28) - sqrt(x61))) * 5.6853228))))) + (x65 + ((sqrt(sqrt(x27)) * 3.288247) - ((x64 + x64) + sqrt(x59)))),0.005438862799917747,3.80180145390104*sqrt(x18) - x18 + sqrt(x22) + 3.288247*x27**(1/4) + 5.6853228*sqrt(x28) - 1.2065065*x28 - sqrt(x51) - sqrt(x55) - sqrt(x57) - sqrt(x59) - 5.6853228*sqrt(x61) + 1.18921426425406*x61 + 3.6853228*x64 + x65,PySRFunction(X=>3.80180145390104*sqrt(x18) - x18 + sqrt(x22) + 3.288247*x27**(1/4) + 5.6853228*sqrt(x28) - 1.2065065*x28 - sqrt(x51) - sqrt(x55) - sqrt(x57) - sqrt(x59) - 5.6853228*sqrt(x61) + 1.18921426425406*x61 + 3.6853228*x64 + x65)
54,15.24457,(((-0.13485554 - x64) - (x18 - (((sqrt(x22) + (((((x64 + -0.19239578) - sqrt(x61)) + sqrt(x28)) * 5.13791) - sqrt(x57))) - (sqrt(x51) - sqrt(x20))) - ((x61 / -1.0597368) - (x28 * -1.9143599))))) + ((x28 - sqrt(x55)) + ((sqrt(x18) + sqrt(sqrt(x27))) / 0.29843393))) - sqrt(x59),0.001603481859548635,3.35082542390538*sqrt(x18) - x18 + sqrt(x20) + sqrt(x22) + 3.35082542390538*x27**(1/4) + 5.13791*sqrt(x28) - 0.9143599*x28 - sqrt(x51) - sqrt(x55) - sqrt(x57) - sqrt(x59) - 5.13791*sqrt(x61) + 0.94363053165654*x61 + 4.13791*x64 - 1.1233677420198,PySRFunction(X=>3.35082542390538*sqrt(x18) - x18 + sqrt(x20) + sqrt(x22) + 3.35082542390538*x27**(1/4) + 5.13791*sqrt(x28) - 0.9143599*x28 - sqrt(x51) - sqrt(x55) - sqrt(x57) - sqrt(x59) - 5.13791*sqrt(x61) + 0.94363053165654*x61 + 4.13791*x64 - 1.1233677420198)
56,15.050142,((((-0.51115453 - x64) - ((x18 - (((sqrt(x22) + (((((x64 + -0.19239578) - sqrt(x61)) + sqrt(x28)) * 5.13791) - sqrt(x57))) - (sqrt(x51) - sqrt(x20))) - ((x61 / -1.0597368) - (x28 * -1.9143599)))) * 0.9395887)) + (x28 - sqrt(x55))) + ((sqrt(x18) + sqrt(sqrt(x27))) / 0.29843393)) - sqrt(x59),0.006417973853465955,3.35082542390538*sqrt(x18) - 0.9395887*x18 + 0.9395887*sqrt(x20) + 0.9395887*sqrt(x22) + 3.35082542390538*x27**(1/4) + 4.827522177617*sqrt(x28) - 0.79871092977313*x28 - 0.9395887*sqrt(x51) - sqrt(x55) - 0.9395887*sqrt(x57) - sqrt(x59) - 4.827522177617*sqrt(x61) + 0.886624584519477*x61 + 3.827522177617*x64 - 1.43994942482992,PySRFunction(X=>3.35082542390538*sqrt(x18) - 0.9395887*x18 + 0.9395887*sqrt(x20) + 0.9395887*sqrt(x22) + 3.35082542390538*x27**(1/4) + 4.827522177617*sqrt(x28) - 0.79871092977313*x28 - 0.9395887*sqrt(x51) - sqrt(x55) - 0.9395887*sqrt(x57) - sqrt(x59) - 4.827522177617*sqrt(x61) + 0.886624584519477*x61 + 3.827522177617*x64 - 1.43994942482992)
58,14.978125,(((((x52 * -0.07475489) - x64) - (x18 - ((((sqrt(x22) + ((((x64 + -0.19239578) - sqrt(x61)) + sqrt(x28)) * 5.13791)) - sqrt(x57)) - (sqrt(x51) - sqrt(x20))) - ((x61 / -1.0597368) - (-1.9143599 * x28))))) * 0.9395887) + ((x28 - sqrt(x55)) + ((sqrt(x18) + sqrt(sqrt(x27))) / 0.29843393))) - sqrt(x59),0.0023983115002305503,3.35082542390538*sqrt(x18) - 0.9395887*x18 + 0.9395887*sqrt(x20) + 0.9395887*sqrt(x22) + 3.35082542390538*x27**(1/4) + 4.827522177617*sqrt(x28) - 0.79871092977313*x28 - 0.9395887*sqrt(x51) - 0.070238849913743*x52 - sqrt(x55) - 0.9395887*sqrt(x57) - sqrt(x59) - 4.827522177617*sqrt(x61) + 0.886624584519477*x61 + 3.887933477617*x64 - 0.928794894829921,PySRFunction(X=>3.35082542390538*sqrt(x18) - 0.9395887*x18 + 0.9395887*sqrt(x20) + 0.9395887*sqrt(x22) + 3.35082542390538*x27**(1/4) + 4.827522177617*sqrt(x28) - 0.79871092977313*x28 - 0.9395887*sqrt(x51) - 0.070238849913743*x52 - sqrt(x55) - 0.9395887*sqrt(x57) - sqrt(x59) - 4.827522177617*sqrt(x61) + 0.886624584519477*x61 + 3.887933477617*x64 - 0.928794894829921)
