complexity,loss,equation,score,sympy_format,lambda_format
1,36.864902,x64,0.0,x64,PySRFunction(X=>x64)
2,36.37433,sqrt(x28),0.013396627012019883,sqrt(x28),PySRFunction(X=>sqrt(x28))
3,29.91062,x28 - x60,0.19564970479779067,x28 - x60,PySRFunction(X=>x28 - x60)
5,28.932129,(x64 - x60) + x28,0.016630446786166046,x28 - x60 + x64,PySRFunction(X=>x28 - x60 + x64)
6,28.188152,(sqrt(x26) + x28) - x61,0.026050959892128363,sqrt(x26) + x28 - x61,PySRFunction(X=>sqrt(x26) + x28 - x61)
7,27.418917,(sqrt(x28) - sqrt(x60)) * 2.6935432,0.027668571179354715,2.6935432*sqrt(x28) - 2.6935432*sqrt(x60),PySRFunction(X=>2.6935432*sqrt(x28) - 2.6935432*sqrt(x60))
8,26.530264,x28 + ((x64 - sqrt(x61)) * x3),0.0329470575374216,x28 + x3*(-sqrt(x61) + x64),PySRFunction(X=>x28 + x3*(-sqrt(x61) + x64))
9,25.315495,((x64 + sqrt(x28)) - sqrt(x61)) * 2.487342,0.04686946024397037,2.487342*sqrt(x28) - 2.487342*sqrt(x61) + 2.487342*x64,PySRFunction(X=>2.487342*sqrt(x28) - 2.487342*sqrt(x61) + 2.487342*x64)
11,24.935038,((x64 + sqrt(x28)) - sqrt(x61 - -0.16560216)) * 2.748954,0.007571347947904844,2.748954*sqrt(x28) + 2.748954*x64 - 2.748954*sqrt(x61 + 0.16560216),PySRFunction(X=>2.748954*sqrt(x28) + 2.748954*x64 - 2.748954*sqrt(x61 + 0.16560216))
12,24.355217,(((x64 + sqrt(x28)) - sqrt(x60)) * 3.001486) - sqrt(x59),0.023527885865644298,3.001486*sqrt(x28) - sqrt(x59) - 3.001486*sqrt(x60) + 3.001486*x64,PySRFunction(X=>3.001486*sqrt(x28) - sqrt(x59) - 3.001486*sqrt(x60) + 3.001486*x64)
13,23.327246,((sqrt(x28) + (x64 - sqrt(sqrt(x61)))) * 3.120937) - sqrt(x59),0.04312404346321664,3.120937*sqrt(x28) - sqrt(x59) - 3.120937*x61**(1/4) + 3.120937*x64,PySRFunction(X=>3.120937*sqrt(x28) - sqrt(x59) - 3.120937*x61**(1/4) + 3.120937*x64)
15,21.93623,((((x64 + sqrt(x28)) - sqrt(x61)) * 2.585651) + sqrt(x26)) - sqrt(x59),0.030741212908982095,sqrt(x26) + 2.585651*sqrt(x28) - sqrt(x59) - 2.585651*sqrt(x61) + 2.585651*x64,PySRFunction(X=>sqrt(x26) + 2.585651*sqrt(x28) - sqrt(x59) - 2.585651*sqrt(x61) + 2.585651*x64)
16,21.909323,sqrt(x26) - ((0.39168897 * x59) + (((x64 + sqrt(x28)) - sqrt(x61)) * -2.586687)),0.00122735381523035,sqrt(x26) + 2.586687*sqrt(x28) - 0.39168897*x59 - 2.586687*sqrt(x61) + 2.586687*x64,PySRFunction(X=>sqrt(x26) + 2.586687*sqrt(x28) - 0.39168897*x59 - 2.586687*sqrt(x61) + 2.586687*x64)
