Complexity,Loss,Equation
58,0.105204806,"(((x23 - -0.4343771) + (((x428 + -15.968564) + (square((x563 + x553) + ((((x211 - (((x212 - x14) + 15.710902) * -0.6374651)) * -0.89262223) - x425) - 0.21401009)) / 4.4343247)) * ((x768 * 0.9419094) + (x341 / 1.7030054)))) + ((x672 * 1.3988143) - ((x563 * -0.7911003) * (x68 + -0.6532835)))) - (((x430 + x519) * -0.18118131) + 0.7676981)"
70,0.098429546,"(((((x23 - -0.5134158) + ((((x341 / 1.5179734) + x768) * (x428 + ((square(((x563 + (-0.8390621 * (x211 - ((x212 + (15.634143 - x14)) * -0.6844276)))) + (x553 - x425)) - 0.16590118) / 4.403662) + -16.033989))) * 0.9204452)) + (x672 * 1.5520767)) - ((((x104 - 1.4143215) * ((x500 * x188) + (x563 * 0.5145594))) + x68) * -1.1649437)) - ((((-0.7120261 - x537) + x519) * -0.12792929) + 0.6884673)) + x266"
76,0.08956864,"(x672 * 2.37388) + (((x768 * (((square(((x553 - (x55 + 0.16662061)) + ((x211 - ((x212 + (15.507012 - x14)) * -0.56129336)) * -1.0899742)) - x425) / 4.958941) + (x428 + -15.860403)) * 0.8830858)) - (((0.846592 - ((x428 + (((x563 * x768) + ((x341 / 1.6094488) + x765)) * (((x341 / 1.4151791) + ((x563 + 0.9303023) * 11.160093)) + -15.442125))) - (x635 + x519))) * -0.663267) - ((x147 + x340) + x464))) + (x23 - 0.7712868))"
77,0.08854604,"(((((x672 * 1.9898524) + x768) * (x428 + (((square(((x553 - (x133 + 0.116895914)) + ((x211 - (((x212 + 15.471557) - x14) * -0.539836)) * -1.1386906)) - x425) / 4.9198895) + -15.889361) * 0.85742414))) - (x114 + ((0.26076922 - (x428 + (((((((x563 + 1.2677164) * (48.91804 + (x341 / -1.5408942))) + -1.1347752) * 0.19519201) + -15.487049) * ((x563 * x768) + ((x765 + x341) / 1.4769504))) - x635))) * -0.67224044))) - (x672 + 0.3332733)) + abs(x23)"
78,0.078284316,"(((((x765 + ((x672 * 2.0100765) + x768)) * ((((square(((x553 - (x133 + 0.16180025)) + ((x211 - (((15.5055895 - x14) + x212) * -0.5512845)) * -1.1038786)) - x425) / 4.898418) + -15.877355) * 0.8665023) + x428)) - (((x114 + 0.2100673) - ((x428 + ((((x563 + 0.9571095) * ((x341 / -1.5453323) + 11.20236)) + -15.440135) * (((x341 / 1.6938325) + x765) + (x563 * x768)))) - x635)) * -0.66987705)) - ((x46 + 0.3592058) + x672)) + x23) - -0.034645572"
95,0.068014465,"((((((x672 * 2.0733798) + x768) * ((x428 + ((square(((((x211 - (((x212 - x14) + 15.350678) * -0.5944712)) * -1.0558553) - x425) + x553) - (x133 + 0.36328343)) + -0.3082768) / 5.3344407)) + -15.747073)) * 0.90578246) - ((x114 + (0.23962015 - (x428 + ((((sqrt(square(((x570 - ((x671 + -1.7439505) * x211)) - (x356 + 4.464144)) - 0.24289934)) + -15.688625) + (((x563 + 1.5944775) + (x341 / -1.5002726)) * 7.027249)) * ((x341 / 1.5712955) + (x768 * x563))) - x635)))) * -0.63467735)) - (x672 + (x340 + 0.3596772))) + ((x23 - x538) + square(x181))"
125,0.06723786,"((((x768 + (x672 * 1.9603838)) * (x428 + ((((square(((((x211 - (((x212 + 15.50716) - x14) * -0.5731992)) * -1.0626547) - x425) + x553) - 0.14025788) + ((x294 + x341) * 1.4173594)) / 4.860447) + -15.884604) * 0.8637218))) - (((x114 + 0.20479205) - (x428 + (((((((x563 + (x341 / -1.5447994)) + 1.5874987) * 7.0044003) + -15.689629) + sqrt(square(((x570 - ((x671 + 0.42694578) + (x211 * -1.2540882))) - (((x425 + x356) + 0.27382645) * 15.440691)) - -0.20434749))) * ((x563 * x768) + (x750 + (x341 / ((-0.36207083 + (((((x211 - x212) + (15.507592 - x14)) * 0.60164154) - (x425 + x553)) - square((x554 + -0.1614905) + x765))) / 4.8595567))))) - x635))) * -0.6433711)) - (x672 + 0.41514972)) + abs(abs(-0.009855222 - x23))"
147,0.063231625,"(sqrt(((x23 - -0.027680106) * 1.851489) - x517) + ((((((x428 + (square((x563 + ((x211 - (((x212 + 15.467578) - x14) * -0.6239804)) * -1.0149575)) + ((x553 - x425) - 0.092063494)) / 5.1253805)) + -15.82954) * (((x604 * 0.14564598) + sqrt(x768)) + (x672 * 1.9343338))) * 0.8717199) - (x315 - (((((x341 / -0.33900473) + ((x768 + -0.11343606) * ((((((((x582 * 0.10904333) - x515) + (square((((x426 + ((x563 + x211) - (sqrt(x163) + 16.092777))) - (x763 * ((x403 + (x211 * (x212 - x211))) + (x563 + 1.4225575)))) * -1.2131217) + (0.647121 - x247)) / 4.4210443)) + -15.716193) * ((x631 / 1.5458326) + ((x563 + 1.3938906) * 0.13389082))) - (sqrt(x610) + (-1.6027197 - (-0.45522144 - 0.3205426)))) + -15.696949) * x563))) - (x635 + -0.015544658)) + x428) * ((x299 * x698) + -0.6275162)))) - (((x672 + x503) + 0.58546406) - x414))) - (x756 * 0.6140738)"
156,0.0624943,"(((((x428 + ((square((x563 + ((x211 - (((15.56978 - x14) + x212) * -0.55591017)) * -1.1031247)) + ((x553 - x425) - 0.22298613)) / 5.044514) + -15.792014)) * ((x763 * -0.14347062) + x768)) * ((x672 * 1.6435605) + 0.8125187)) - (((x425 + (x460 * x463)) - (((x428 + (((x768 * x563) + (x341 / 1.3203361)) * ((((((square(((((x428 + x563) + x211) - ((x212 + 16.071627) - (x779 + sqrt(x144)))) / -1.0694809) + (0.6222817 - x247)) / 4.4361753) + -15.722003) * ((x341 / -1.5280627) + (x563 + 1.59359))) - (x425 + ((x129 * (x301 + (x27 + (x672 * 1.7601179)))) + (x768 * ((((x563 - x341) / 1.1120453) * (((x320 * -0.29253468) * x773) + -15.728887)) - 0.6659152))))) * ((x756 * x212) + (0.23072566 - x570))) + -15.694313))) - square(x635 + 1.1501637)) + ((x301 * x129) + x428))) * -0.2624638)) - (x672 + (x249 + 0.8843148))) + sqrt(x23 - ((x212 + 1.4038103) * -0.065141216))"
162,0.060167268,"(((((x428 + ((square(((x563 + ((x211 - (((15.56978 - x14) + x212) * -0.55591017)) * -1.1031247)) + (x553 - x425)) - 0.22298613) / 5.044514) + -15.792014)) * ((x672 * x763) + x768)) * ((x672 * 1.6435605) + 0.8125187)) - (((x425 + (x463 * -0.21894449)) - ((x428 + ((((x768 * x563) + (x341 / 1.3203361)) * ((((((square((((x428 + x563) + ((x211 - (x212 + 16.071627)) - (x779 + sqrt(x144)))) / -1.0694809) + (0.6222817 - x247)) / 4.4361753) + -15.722003) * ((x341 / -1.5280627) + (x563 + 1.59359))) - ((x425 + (((x129 * x301) + x27) + (x672 * 1.7601179))) + (x768 * ((((x563 - x341) / 1.1120453) * ((x773 * 0.42175952) + -15.728887)) - (((x301 * (x129 + -0.21824202)) + x428) * 0.6659152))))) * ((x756 * x212) + (0.23072566 - x570))) + -15.694313)) - square(x635 + 1.1501637))) + ((x301 * x129) + x428))) * -0.2624638)) - ((x672 + 0.8843148) + x249)) + sqrt((x23 - -0.065141216) * (x212 + 1.4038103))"
164,0.059570756,"((((x428 + ((square(((x563 + ((x211 - (((15.56978 - x14) + x212) * -0.55591017)) * -1.1031247)) + (x553 - x425)) - 0.22298613) / 5.044514) + -15.792014)) * ((((-0.24858603 * 0.12965128) * x763) + x768) * ((x672 * 1.6435605) + 0.8125187))) - (((x425 + (x463 * -0.21894449)) - ((x428 + ((((x768 * x563) + (x341 / 1.3203361)) * ((((x756 * x212) + (0.23072566 - x570)) * ((((square((((x428 + x563) + ((x211 - (x212 + 16.071627)) - (x779 + sqrt(x144)))) / -1.0694809) + (0.6222817 - x247)) / 4.4361753) + -15.722003) * (((x341 / -1.5280627) + x563) + 1.59359)) - (((x425 + (x129 * (x301 + x27))) + (x672 * 1.7601179)) + (x768 * (((x563 - (x341 / 1.1120453)) * ((x773 * 0.42175952) + -15.728887)) - (((x301 * (x129 + -0.21824202)) + x428) * 0.6659152)))))) + -15.694313)) - square(x635 + 1.1501637))) + ((x301 * x129) + x428))) * -0.2624638)) - ((x672 + 0.8843148) + x249)) + sqrt((x23 - -0.065141216) * (x212 + 1.4038103))"
191,0.057830032,"(((((x428 + ((square(x563 + (((x211 - (((x212 + 15.584926) - x14) * -0.5687969)) * -1.0716513) + ((x553 - x425) - 0.19691887))) / 4.9808373) + -15.80294)) * (((x197 * x763) + x768) * ((1.7084376 * x672) + 0.83872944))) - (((x425 + (x463 * 0.20688991)) - ((x428 + x428) + ((((x768 * x563) + (x341 / 1.2976371)) * (((((1.5258682 + ((x341 / -1.4651724) + x563)) * ((square(((x428 + (x563 + (x211 - ((x290 + 16.081202) - (x779 * sqrt(1.1118015)))))) / -0.8828207) + (0.6302859 - x247)) / 4.4179645) + -15.721192)) - ((1.054082 + (-15.660046 * x463)) + (x27 + ((((((x672 * x763) + x768) * (x563 - x341)) / 1.1756219) * (((x428 / (x688 + -0.31386167)) + (0.23833323 * (((x503 + ((((x517 + 1.1417707) + -0.9603424) + x341) / (x563 + 0.120129265))) * -15.723514) - (((x672 / 1.6828) * x670) - (x428 + (x503 - x570)))))) + ((-15.724255 - (x635 + square(x136))) + ((x301 * x129) + x428)))) * 0.64420253)))) * ((x756 * x212) + 0.15761024)) + -15.702801)) - square(x635 + 0.9911861)))) * -0.23455349)) - (x672 + 0.8029009)) + x503) + sqrt((x23 - -0.075237535) * (x212 + 1.3530625))"
214,0.057780594,"(((((x428 + ((square(x563 + ((((x211 - ((x212 + (15.584926 - x14)) * -0.5687969)) * -1.0716513) + (x553 - x425)) - 0.19691887)) / 4.9808373) + -15.80294)) * (((x197 * x763) + x768) * ((1.7084376 * x672) + 0.83872944))) - (((x425 + (x463 * -0.23970936)) - ((x428 + x428) + ((((x768 * x563) + (x341 / 1.2976371)) * ((((((square(((x428 + ((x563 + x211) - ((x290 + 16.081202) - (x779 * sqrt(1.1118015))))) / -0.8828207) + (0.6302859 - x247)) / 4.4179645) + -15.721192) * (1.5258682 + ((x341 / -1.4651724) + x563))) - ((1.054082 + (-15.660046 * x463)) + (x27 + ((((((x672 * x763) + x768) * (x563 - x341)) / 1.1756219) * (((x428 / (x688 + -0.31386167)) + (0.23833323 * (((x503 + (((x517 + (1.1417707 + -0.9603424)) + x341) / (x563 + 0.120129265))) * -15.723514) - (((x672 / 1.6828) * x670) - (x428 + (((((x428 / (x688 + -0.31386167)) + (x338 + (x563 - (x212 + (15.584926 - (0.9325655 * (0.6361633 * -1.0716513))))))) + square(x212)) + x27) - x570)))))) + ((-15.724255 - (x635 + square(x136))) + ((x301 * x129) + x428)))) * 0.64420253)))) * ((x756 * x212) + 0.15761024)) + -15.702801)) - square(x635 + 0.9911861)))) * -0.23455349)) - (x672 + 0.8029009)) + x503) + sqrt((x23 - -0.075237535) * (x212 + 1.3530625))"
216,0.057757568,"(((((x428 + ((square(x563 + ((((x211 - ((x212 + (15.584926 - x14)) * -0.5687969)) * -1.0716513) + (x553 - x425)) - 0.19691887)) / 4.9808373) + -15.80294)) * (((x197 * x763) + x768) * ((1.7084376 * x672) + 0.83872944))) - (((x425 + (x463 * -0.23970936)) - (x428 + (((((x768 * x563) + (x341 / 1.2976371)) * ((((((square(((x428 + ((x563 + x211) - (x290 + (16.081202 - (x779 * sqrt(1.1118015)))))) / -0.8828207) + (0.6302859 - x247)) / 4.4179645) + -15.721192) * (1.5258682 + ((x341 / -1.4651724) + x563))) - ((1.054082 + (-15.660046 * x463)) + (x27 + ((((((x672 * x763) + x768) * (x563 - x341)) / 1.1756219) * (((x428 / (x688 + -0.31386167)) + (0.23833323 * (((x503 + (((x517 + (1.1417707 + -0.9603424)) + x341) / (x563 + 0.120129265))) * -15.723514) - (((x672 / 1.6828) * x670) - (x428 + ((((x428 / (x688 + -0.31386167)) + ((x338 + x563) - (x212 + (15.584926 - (0.9325655 * (0.6361633 * -1.0716513)))))) + square(x635 + 0.9911861)) + (x27 - x570))))))) + (((-15.724255 - x635) + square(x136)) + ((x301 * x129) + x428)))) * 0.64420253)))) * ((x756 * x212) + 0.15761024)) + -15.702801)) - square(x635 + 0.9911861)) + x428))) * -0.23455349)) - (x672 + 0.8029009)) + x503) + sqrt((x23 - -0.075237535) * (x212 + 1.3530625))"
222,0.05768512,"((((x428 + ((square(((x563 + ((x211 - (((x212 + 15.584926) - x14) * -0.5687969)) * -1.0716513)) + (x553 - x425)) - 0.19691887) / 4.9808373) + -15.80294)) * (((x197 * x763) + x768) * ((1.7084376 * x672) + 0.83872944))) - (((x425 + (x463 * -0.23970936)) - (x428 + (((((x768 * x563) + (x341 / 1.2976371)) * ((((((square(((x428 + ((x563 + x211) - ((x290 + 16.081202) - sqrt(x779 * 1.1118015)))) / -0.8828207) + (0.6302859 - x247)) / 4.4179645) + -15.721192) * (1.5258682 + ((x341 / -1.4651724) + x563))) - ((1.054082 + (-15.660046 * x463)) + (x27 + ((((x672 * x763) + ((x768 * (x563 - x341)) / 1.1756219)) * (((x428 / (x688 + -0.31386167)) + (0.23833323 * (((x503 + ((x517 + ((1.1417707 + -0.9603424) + ((x247 - (0.046245266 / 19.683714)) + x341))) / (x563 + 0.120129265))) * -15.723514) - (((x672 / 1.6828) * x670) - (x428 + ((((x428 / (x688 + -0.31386167)) + ((x563 + x338) - (((x212 + 15.584926) - 0.9325655) * (-0.5687969 * -1.0716513)))) + square(x324)) + (x27 - x570))))))) + (((-15.724255 - x635) + square(x136)) + (x301 * (x129 + x428))))) * 0.64420253)))) * ((x756 * x212) + (0.15761024 - x570))) + -15.702801)) - square(x635 + 0.9911861)) + x428))) * -0.23455349)) - ((x672 + 0.8029009) + x503)) + sqrt((x23 - -0.075237535) * (x212 + 1.3530625))"
