Complexity,Loss,Equation
41,15.492465,"sqrt(sqrt(sqrt(x28)) * 38.173668) + ((((sqrt(x61) - x64) * -2.658144) - (sqrt(x55) - sqrt(x20))) + (sqrt(x22) + (((((sqrt(x51) / -1.8176854) + sqrt(x19)) - sqrt(x59)) * 1.3001617) + (0.38572878 / (x27 + -0.120643966)))))"
42,15.379333,"(((sqrt(x61) - x64) * -2.600637) - (sqrt(x55) - sqrt(x20))) + ((0.42682898 / (x27 + -0.120643966)) + (sqrt(sqrt(x28) * 25.038088) + ((((((sqrt(x51) / -1.6860154) + sqrt(x19)) - sqrt(x59)) * 1.3615868) + sqrt(x22)) + x64)))"
43,15.235247,"(sqrt(sqrt(sqrt(x28))) * 6.1784844) + ((0.44031897 / (x27 + -0.120643966)) + (((((sqrt(x51) / -1.6858166) + sqrt(x19)) - sqrt(x59)) * 1.3762279) + (sqrt(x22) + ((x64 + ((sqrt(x61) - x64) * -2.658144)) - (sqrt(x55) - sqrt(x20))))))"
44,15.188407,"sqrt(sqrt(sqrt(sqrt(x28))) * 38.173668) + ((((sqrt(x61) - x64) * -2.658144) - (sqrt(x55) - sqrt(x20))) + (((0.44031897 / (x27 + -0.120643966)) + sqrt(x22)) + ((((sqrt(x51) / -1.8176854) + (sqrt(x19) - sqrt(x59))) * 1.3001617) + x64)))"
45,15.175252,"((((sqrt(x61) - x64) * -2.658144) + x65) - (sqrt(x55) - sqrt(x20))) + (((((((sqrt(x51) / -1.6860154) + sqrt(x19)) - sqrt(x59)) * 1.4096394) + x64) + sqrt(x22)) + ((0.4112946 / (x26 + -0.120643966)) + sqrt(sqrt(sqrt(x28)) * 38.173668)))"
46,15.062128,"((sqrt(x22) + (x65 + (((sqrt(x61) - x64) * -2.658144) - (sqrt(x55) - sqrt(x20))))) + x64) + (((0.4112946 / (x27 + -0.120643966)) + sqrt(sqrt(sqrt(sqrt(x28))) * 38.173668)) + ((((sqrt(x51) / -1.6860154) + sqrt(x19)) - sqrt(x59)) * 1.3615868))"
48,15.002363,"(((sqrt(x22) + ((x13 * 0.16402407) + ((sqrt(x61) - x64) * -2.658144))) - (sqrt(x55) - sqrt(x20))) + x64) + (((0.4112946 / (x27 + -0.120643966)) + sqrt(sqrt(sqrt(sqrt(x28))) * 38.173668)) + ((((sqrt(x51) / -1.6860154) + sqrt(x19)) - sqrt(x59)) * 1.3615868))"
53,14.782474,"(((((x28 + x64) + (sqrt(x26) + sqrt(x24 + x20))) - (sqrt(x61) - (sqrt(x19) - sqrt(x60)))) - ((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.30070356 - (x29 * x64)))))) * -1.4157851) - ((x51 * -0.9209516) - square(2.2382457 - x28))) * 0.18559292)) - sqrt(x59)) / 0.6895003"
54,14.744369,"(x64 + ((sqrt(x26) + (((sqrt(x24 + x20) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(x60)))) - ((((x11 - (x55 - ((sqrt(x57) / (-0.30070356 - (x29 * x64))) + x22))) * -1.2693399) - ((x51 / -0.9209516) - square(x28 - 2.2382457))) * 0.18559292)) + x28)) - sqrt(x59))) / 0.6895003"
56,14.681817,"(((sqrt(x26) + ((((x64 + sqrt(x24 + x20)) - ((((x11 - (x55 - ((sqrt(x57) / (-0.30070356 - (x29 * x64))) + x22))) * -1.2693399) - ((x51 / -1.2681543) - square(x28 - 1.9759455))) * 0.18559292)) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(x60)))) + x28)) - sqrt(x59)) / 0.63061213) + -0.41442508"
