complexity,loss,equation,score,sympy_format,lambda_format
46,29.609337,(((((x259 - (x71 / -0.84711695)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - (abs(x259 + ((x685 + ((x771 - x143) - ((x259 - sqrt(1.9202482)) + (x768 - x699)))) + x685)) + abs(x401))))) + x82) - x686,0.0007784377797854044,3*x259 - x616 - x686 - x698 - 2*x699 + 1.18047454958846*x71 + x768 + x82 - Abs(x401) - Abs(-x143 + 2*x685 + x699 - x768 + x771 + 1.38573020462138),PySRFunction(X=>3*x259 - x616 - x686 - x698 - 2*x699 + 1.18047454958846*x71 + x768 + x82 - Abs(x401) - Abs(-x143 + 2*x685 + x699 - x768 + x771 + 1.38573020462138))
47,29.594326,((((x259 - (x71 * -0.84711695)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - (abs(abs(x259 + (x685 + (((x771 - x143) - ((x259 - sqrt(1.9202482)) + (square(x768 + 0.22597775) - x699))) + x685)))) + x401)))) + x82,0.0005070970126179768,3*x259 - x401 - x616 - x698 - 2*x699 + 0.84711695*x71 + x768 + x82 - Abs(-x143 + 2*x685 + x699 + x771 - (x768 + 0.22597775)**2 + 1.38573020462138),PySRFunction(X=>3*x259 - x401 - x616 - x698 - 2*x699 + 0.84711695*x71 + x768 + x82 - Abs(-x143 + 2*x685 + x699 + x771 - (x768 + 0.22597775)**2 + 1.38573020462138))
50,29.584026,(((((x259 - (x71 * -1.8659066)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - abs(abs(abs(x259 + (x685 + (((x771 - x143) - ((-0.10815186 - sqrt(7.6380024)) + (square(x768 + 1.0013647) - x699))) + x685)))) + x401)))) + x82) + x468,0.00011603342276248801,3*x259 + x468 - x616 - x698 - 2*x699 + 1.8659066*x71 + x768 + x82 - Abs(x401 + Abs(-x143 + x259 + 2*x685 + x699 + x771 - (x768 + 1.0013647)**2 + 2.87184547543569)),PySRFunction(X=>3*x259 + x468 - x616 - x698 - 2*x699 + 1.8659066*x71 + x768 + x82 - Abs(x401 + Abs(-x143 + x259 + 2*x685 + x699 + x771 - (x768 + 1.0013647)**2 + 2.87184547543569)))
52,29.581543,((((((x259 - (x71 * -1.8659066)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - abs(abs(abs(x259 + (x685 + (((x771 - x143) - ((-0.10815186 - sqrt(7.6380024)) + (square(x768 + 1.0013647) - x699))) + x685)))) + x401)))) + x82) + x468) + x492,4.19669757838142e-05,3*x259 + x468 + x492 - x616 - x698 - 2*x699 + 1.8659066*x71 + x768 + x82 - Abs(x401 + Abs(-x143 + x259 + 2*x685 + x699 + x771 - (x768 + 1.0013647)**2 + 2.87184547543569)),PySRFunction(X=>3*x259 + x468 + x492 - x616 - x698 - 2*x699 + 1.8659066*x71 + x768 + x82 - Abs(x401 + Abs(-x143 + x259 + 2*x685 + x699 + x771 - (x768 + 1.0013647)**2 + 2.87184547543569)))
55,29.568132,((((x259 - (x71 * -1.6132802)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - (abs((x259 + x685) + ((((x771 - x143) - x699) - (((((x259 - x289) - x698) - x699) - sqrt(2.4285007)) + (square(x768 + 0.35092184) - x699))) + x685)) + abs(x401))))) + x82,0.0001511532704088392,3*x259 - x616 - x698 - 2*x699 + 1.6132802*x71 + x768 + x82 - Abs(x401) - Abs(-x143 + x289 + 2*x685 + x698 + x699 + x771 - (x768 + 0.35092184)**2 + 1.55836475191144),PySRFunction(X=>3*x259 - x616 - x698 - 2*x699 + 1.6132802*x71 + x768 + x82 - Abs(x401) - Abs(-x143 + x289 + 2*x685 + x698 + x699 + x771 - (x768 + 0.35092184)**2 + 1.55836475191144))
56,29.552288,((((x259 - (x71 * -0.84711695)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - (abs(abs(x259 + (x685 + ((((x771 - x143) - x699) - (((((x259 - -0.11429563) - x698) - x699) - sqrt(1.9202482)) + (square(x768 + 0.22597775) - x699))) + x685)))) + abs(x401))))) + x82,0.0005359907923289911,3*x259 - x616 - x698 - 2*x699 + 0.84711695*x71 + x768 + x82 - Abs(x401) - Abs(-x143 + 2*x685 + x698 + x699 + x771 - (x768 + 0.22597775)**2 + 1.27143457462138),PySRFunction(X=>3*x259 - x616 - x698 - 2*x699 + 0.84711695*x71 + x768 + x82 - Abs(x401) - Abs(-x143 + 2*x685 + x698 + x699 + x771 - (x768 + 0.22597775)**2 + 1.27143457462138))
59,29.539747,(((x259 - (x71 * -0.84711695)) + ((x259 - x698) - x699)) - x616) + ((x768 + ((x259 - x699) - (abs(((x529 + x622) + x259) + (x685 + ((((x771 - x622) - x699) - (((((x259 - -0.11429563) - x698) - x699) - sqrt(1.9202482)) + (square(x768 + 0.22597775) - x699))) + x685))) + abs(x401)))) + x82),0.00014148551140930431,3*x259 - x616 - x698 - 2*x699 + 0.84711695*x71 + x768 + x82 - Abs(x401) - Abs(x529 + 2*x685 + x698 + x699 + x771 - (x768 + 0.22597775)**2 + 1.27143457462138),PySRFunction(X=>3*x259 - x616 - x698 - 2*x699 + 0.84711695*x71 + x768 + x82 - Abs(x401) - Abs(x529 + 2*x685 + x698 + x699 + x771 - (x768 + 0.22597775)**2 + 1.27143457462138))
60,29.534378,((((x259 - (x71 * -0.84711695)) + (x259 - x699)) - x616) + ((x768 + ((x259 - x699) - (abs(abs((x529 + (x622 + x259)) + (x685 + ((((x771 - x622) - x699) - (((((x259 - -0.11429563) - x698) - x699) - sqrt(1.9202482)) + (square(x768 + 0.22597775) - x699))) + x685)))) + abs(x401)))) + x82)) + x160,0.00018177163063460127,x160 + 3*x259 - x616 - 2*x699 + 0.84711695*x71 + x768 + x82 - Abs(x401) - Abs(x529 + 2*x685 + x698 + x699 + x771 - (x768 + 0.22597775)**2 + 1.27143457462138),PySRFunction(X=>x160 + 3*x259 - x616 - 2*x699 + 0.84711695*x71 + x768 + x82 - Abs(x401) - Abs(x529 + 2*x685 + x698 + x699 + x771 - (x768 + 0.22597775)**2 + 1.27143457462138))
62,29.526985,((((x259 - (x71 * -0.84711695)) + (x259 - x699)) - x616) + ((x768 + ((x259 - x699) - (abs(abs((x529 + (x622 + x259)) + (x685 + ((((x771 - x622) - x699) - (((((x259 - (-0.34706697 + x512)) - x698) - x699) - sqrt(1.9202482)) + (square(x768 + 0.22597775) - x699))) + x685)))) + abs(x401)))) + x82)) + x160,0.00012517489714237098,x160 + 3*x259 - x616 - 2*x699 + 0.84711695*x71 + x768 + x82 - Abs(x401) - Abs(x512 + x529 + 2*x685 + x698 + x699 + x771 - (x768 + 0.22597775)**2 + 1.03866323462138),PySRFunction(X=>x160 + 3*x259 - x616 - 2*x699 + 0.84711695*x71 + x768 + x82 - Abs(x401) - Abs(x512 + x529 + 2*x685 + x698 + x699 + x771 - (x768 + 0.22597775)**2 + 1.03866323462138))
150,29.512905,(((x259 - (x71 * -1.3170439)) + ((x259 - x698) - x699)) - x616) + ((x768 + (x259 - x699)) - abs(((x739 + abs((x259 + (((x771 - x622) - x699) - ((((x768 + (((((x768 + (x653 - x699)) - abs((((x529 + x622) + (x259 + abs((((x771 - x622) - x699) - ((((((x259 - -0.51851296) - x698) - x699) - sqrt(x259)) + square(x768 + 1.8076224)) - (x699 + x685))) + x685))) + abs(x401)) + x82)) - x699) - (x699 - abs((abs(x401) + ((x529 + (x622 + x259)) + abs(((x771 - x622) - x699) - (((((((x259 - -0.71419775) - (x698 - x699)) - sqrt(x259)) + square(x768 + 1.4731432)) - x699) + x685) + x260)))) + x82))) - x699)) - 0.76346445) + square((square(x768 + 0.37303385) - (x768 + -0.22835635)) + x685)) + x685))) + -0.09299424)) + abs(x401)) + x82)),5.420064401654529e-06,3*x259 - x616 - x698 - 2*x699 + 1.3170439*x71 + x768 - Abs(x739 + x82 + Abs(x401) + Abs(-x259 + x622 + x653 + x685 - 3*x699 + 2*x768 - x771 + (x685 - x768 + (x768 + 0.37303385)**2 + 0.22835635)**2 - Abs(x259 + x529 + x622 + x82 + Abs(x401) + Abs(sqrt(x259) - x259 - x622 + 2*x685 + x698 + x699 + x771 - (x768 + 1.8076224)**2 - 0.51851296)) + Abs(x259 + x529 + x622 + x82 + Abs(x401) + Abs(-sqrt(x259) + x259 + x260 + x622 + x685 - x698 + x699 - x771 + (x768 + 1.4731432)**2 + 0.71419775)) - 0.67047021)),PySRFunction(X=>3*x259 - x616 - x698 - 2*x699 + 1.3170439*x71 + x768 - Abs(x739 + x82 + Abs(x401) + Abs(-x259 + x622 + x653 + x685 - 3*x699 + 2*x768 - x771 + (x685 - x768 + (x768 + 0.37303385)**2 + 0.22835635)**2 - Abs(x259 + x529 + x622 + x82 + Abs(x401) + Abs(sqrt(x259) - x259 - x622 + 2*x685 + x698 + x699 + x771 - (x768 + 1.8076224)**2 - 0.51851296)) + Abs(x259 + x529 + x622 + x82 + Abs(x401) + Abs(-sqrt(x259) + x259 + x260 + x622 + x685 - x698 + x699 - x771 + (x768 + 1.4731432)**2 + 0.71419775)) - 0.67047021)))
