Complexity,Loss,Equation
45,15.936896,"((((sqrt(x18) / 0.273718) - (x18 - (((sqrt(x28) + (x64 - sqrt(x61))) * 5.0801935) + (((sqrt(x22) - sqrt(x51)) - (x61 / -0.9677938)) - sqrt(x52))))) + (sqrt(sqrt(x27)) * 2.7722635)) - (x64 + (sqrt(x59) + x28))) - sqrt(x55)"
47,15.617105,"(((sqrt(x18) / 0.29542172) - (x18 - (((((sqrt(x28) + x64) - sqrt(x61)) * 5.3361497) + ((sqrt(x22) - sqrt(x51)) - (x61 / -0.9202776))) - sqrt(x57)))) + (((sqrt(sqrt(x27)) * 3.2857728) - (x64 + (sqrt(x59) + x28))) - sqrt(x55))) + x65"
51,15.436033,"(sqrt(sqrt(x27)) * 3.5610268) + ((((x28 - sqrt(x55)) + sqrt(x18 / 0.069186464)) - (x18 - ((((sqrt(x28) + (x64 - sqrt(x61))) * 5.6853228) + ((sqrt(x22) - sqrt(x51)) - ((x61 / -0.84158546) - (x28 * -2.127702)))) - sqrt(x57)))) - ((x64 + x64) + sqrt(x59)))"
52,15.06388,"(((sqrt(x18) + sqrt(sqrt(x27))) / 0.26621732) + (((x28 - x64) - (x18 - (((sqrt(x22) + (((((x64 + -0.410705) - sqrt(x61)) + sqrt(x28)) * 5.0964174) - sqrt(x57))) - (sqrt(x51) - sqrt(x20))) - ((x61 / -1.0628028) - (x28 * -1.8505532))))) - sqrt(x55))) - sqrt(x59)"
54,14.975626,"(((x28 - x64) - (x18 - (((sqrt(x22) + (((((x64 - sqrt(x61)) + -0.29615805) + sqrt(x28)) * 4.8972054) - sqrt(x57))) - (sqrt(x51) - sqrt(x20))) - ((x61 / -1.1323136) - (x28 * -1.7625303))))) - sqrt(x55)) + ((((sqrt(sqrt(x27)) + sqrt(x18)) / 0.30084604) - sqrt(x59)) + x65)"
56,14.84629,"(((x28 - (x64 / 0.616578)) - (x18 - (sqrt(x22) + (((((((x64 - sqrt(x61)) + -0.22175314) + sqrt(x28)) * 5.13791) - sqrt(x57)) - (sqrt(x51) - sqrt(x20))) - ((x61 / -1.0597368) - (x28 * -1.9143599)))))) - sqrt(x55)) + ((((sqrt(x18) + sqrt(sqrt(x27))) / 0.29843393) - sqrt(x59)) + x65)"
58,14.836485,"((((x28 - (x64 / 0.616578)) - (x18 - (sqrt(x22) + ((((((x64 - sqrt(x61)) + (-0.22175314 + sqrt(x28))) * 5.13791) - sqrt(x57)) - (sqrt(x51) - sqrt(x20))) - ((x61 / -1.0597368) - (x28 * -1.9143599)))))) - sqrt(x55)) + ((((sqrt(x18) + sqrt(sqrt(x27))) / 0.29843393) - sqrt(x59)) + x65)) - -0.111345336"
60,14.746457,"((((sqrt(sqrt(x27)) * 3.4418862) + ((((sqrt(x18) / 0.27894372) - sqrt(x59)) + x28) - sqrt(x55))) - (x18 - (sqrt(x22) + ((((((sqrt(x28) + (x64 + -0.15556888)) - sqrt(x61)) * 5.798632) - (sqrt(x57) + x64)) - (sqrt(x51) - sqrt(x20))) - ((x61 * -1.1141831) - (x28 * -2.1999655)))))) + x65) - (x64 - -0.575647)"
62,14.73263,"((sqrt(sqrt(x27)) * 3.4418862) + ((((sqrt(x18) / 0.27894372) - sqrt(x59)) + (((x28 - sqrt(x55)) - (x18 - (sqrt(x22) + ((((((sqrt(x28) + x64) + (-0.15556888 - sqrt(x61))) * 5.798632) - (sqrt(x57) + x64)) - (sqrt(x51) - sqrt(x20))) - ((x61 * -1.1141831) - (x28 * -2.1999655)))))) + x65)) - (x64 - -0.575647))) + 0.055687945"
64,14.665434,"(x28 + (0.6689782 - sqrt(x55))) + ((sqrt(x27) * 4.1992116) + (((((sqrt(x18 / 0.0753477) - sqrt(x59)) + (sqrt(x25) * (3.8717868 - sqrt(x57)))) - (x18 - ((((x64 + (sqrt(x28) - sqrt(x61))) * 4.9211087) - 2.6630406) + ((sqrt(x22) - 3.104584) - ((x61 / -1.1730788) - (x28 * -1.7671375)))))) + (sqrt(x20) - (sqrt(x51) + x64))) - x27))"
65,14.343436,"((sqrt(x27) * 4.1992116) + 0.8139433) + ((x28 - sqrt(x55)) + (((sqrt(x20) + (((sqrt(x18 / 0.0753477) - sqrt(x59)) + ((sqrt(sqrt(x25)) * 3.8717868) - sqrt(x57))) - (x18 - ((((((sqrt(x28) - sqrt(x61)) + x64) * 4.9211087) - 2.6630406) + (sqrt(x22) - 3.104584)) - ((x61 / -1.1730788) - (x28 * -1.7671375)))))) - (sqrt(x51) + x64)) - x27))"
66,14.125262,"(x28 + (sqrt(x27) * 4.000728)) + (((sqrt(x20) + (x28 - sqrt(x55))) + ((((sqrt(sqrt(x25)) * 4.000728) - sqrt(x57)) + ((sqrt(x18 / 0.06743777) - sqrt(x59)) - (x18 - ((sqrt(x22) + (((((x64 + sqrt(x28)) - sqrt(x61)) * 4.884071) - sqrt(x53)) - 2.726954)) - ((x61 / -1.1546361) - (x28 * -2.9138772)))))) - (x64 + sqrt(x51)))) - x27)"
68,13.80155,"(((sqrt(x20) + (x28 + (((sqrt(x27) * 4.000728) + x28) - sqrt(x55)))) + (((sqrt(sqrt(x25)) * 3.7118065) + ((x65 - sqrt(x57)) + (sqrt(x18 / 0.06743777) - sqrt(x59)))) - (x18 - (((((((x64 + sqrt(x28)) - sqrt(x61)) * 4.884071) - sqrt(x53)) + sqrt(x22)) - 2.726954) - ((x61 / -1.1546361) - (x28 * -2.9138772)))))) - (x64 + sqrt(x51))) - x27"
70,13.777163,"(((((((x28 + (sqrt(x27) * 4.000728)) + ((sqrt(x20) + x28) - sqrt(x55))) + (sqrt(sqrt(x25)) * 3.7118065)) + (x65 - sqrt(x57))) + ((sqrt(x18 / 0.06743777) - sqrt(x59)) - (x18 - ((((((x64 + (sqrt(x28) - sqrt(x61))) * 4.884071) - sqrt(x53)) + sqrt(x22)) - 2.726954) - ((x61 / -1.1546361) - (x28 * -2.9138772)))))) - (x64 + sqrt(x51))) - x27) / 0.96971625"
72,13.776555,"((((((((x28 + (sqrt(x27) * 4.000728)) + (sqrt(x20) + x28)) - sqrt(x55)) + (sqrt(sqrt(x25)) * 3.7118065)) + (x65 - sqrt(x57))) + ((sqrt(x18 / 0.06743777) - sqrt(x59)) - (x18 - ((((x64 + (sqrt(x28) - sqrt(x61))) * 4.884071) - sqrt(x53)) + ((sqrt(x22) - 2.726954) - ((x61 / -1.1546361) - (x28 * -2.9138772))))))) - (x64 + sqrt(x51))) - x27) / (x72 + 0.96971625)"
73,13.768253,"((((x28 - x25) - x27) + (((((sqrt(x25) * 3.7118065) - (x64 + sqrt(x51))) + ((sqrt(x18 / 0.06791831) - sqrt(x59)) + 2.0052452)) - sqrt(x57)) - (x18 - ((sqrt(x22) + ((((sqrt(x28) + (x64 - sqrt(x61))) * 4.884071) - sqrt(x53)) - 2.726954)) - ((x61 / -1.1546361) - (x28 * -2.8865063)))))) + (sqrt(x27) * 4.000728)) + (sqrt(x20) + (x28 + ((-1.0621488 - sqrt(x55)) + x65)))"
75,13.749311,"((((x28 - sqrt(x25)) - x27) + (((((((sqrt(sqrt(x25)) * 3.7118065) - (x64 + sqrt(x51))) + (sqrt(x18 / 0.06791831) - sqrt(x59))) + 2.0052452) - sqrt(x57)) - (x18 - ((sqrt(x22) + (((((sqrt(x28) + x64) - sqrt(x61)) * 4.884071) - sqrt(x53)) - 2.726954)) - ((x61 / -1.1546361) - (x28 * -2.8865063))))) + (sqrt(x27) * 4.000728))) + sqrt(x20)) + (x28 + (-1.0621488 - (sqrt(x55) - x65)))"
76,13.748789,"(((x28 - 1.1546361) - x27) + ((((((sqrt(sqrt(x25)) * 3.7118065) - (sqrt(x51) + x64)) + ((((sqrt(x18 / 0.06791831) + 2.0052452) - sqrt(x59)) - sqrt(x57)) - (x18 - (((sqrt(x22) + ((((sqrt(x28) + x64) - sqrt(x61)) * 4.884071) - sqrt(x53))) - 2.726954) - ((x61 / -1.1546361) - (x28 * -2.8865063)))))) + (sqrt(x27) * 4.000728)) + (sqrt(x20) + (-1.0621488 - (sqrt(x55) - x65)))) + x28)) + x66"
77,13.714645,"(((((x28 - sqrt(x25)) - x27) + ((((((sqrt(sqrt(x25)) * 3.7118065) - (x64 + sqrt(x51))) + ((sqrt(x18 / 0.06791831) - sqrt(x59)) + 2.0052452)) - sqrt(x57)) - (x18 - ((sqrt(x22) + (((((sqrt(x28) + x64) - sqrt(x61)) * 4.884071) - sqrt(x53)) - 2.726954)) - ((x61 / -1.1546361) - (x28 * -2.8865063))))) + (sqrt(x27) * 4.000728))) + sqrt(x20)) + (x28 + (-1.0621488 - (sqrt(x55) - x65)))) / 0.9588174"
79,13.6104355,"(((((sqrt(x27) * 4.070361) + ((x28 + sqrt(x18)) + (sqrt(sqrt(x25)) * 2.34897))) + (((sqrt(x18 / 0.13627866) + x28) - sqrt(x55)) + (((sqrt(x20) - sqrt(x64 + x51)) - x27) - (x64 + sqrt(x59))))) - (x18 - ((((((sqrt(x28) + (x64 - sqrt(x61))) * 5.0306845) - sqrt(x53)) - 2.7622633) - ((x61 / -0.9517391) - (x28 * -3.924135))) + sqrt(x22)))) * 1.1011558) + ((x65 + (x28 - sqrt(x57))) - -1.0948573)"
81,13.500783,"((((x65 + (x28 - sqrt(x57))) - -1.4820393) - (x18 - ((sqrt(x22) + ((((sqrt(x28) + (x64 - sqrt(x61))) * 5.0306845) - sqrt(x53)) - 2.7622633)) - ((x61 * -0.9517391) - (x28 * -3.924135))))) + (((sqrt(x27) * 4.070361) + ((x28 + -0.8809053) + (((sqrt(x18) + (sqrt(x18 / 0.13627866) + ((x28 + (sqrt(sqrt(x25)) * (3.229875 - sqrt(x55)))) + sqrt(x20)))) - sqrt(x64 + x51)) - x27))) - (sqrt(x59) + x64))) * 1.1011558"
83,13.437168,"((x28 + (((((sqrt(x20) + ((((sqrt(sqrt(x25)) * 3.229875) + (((sqrt(x18 / 0.13627866) + x28) - sqrt(x55)) + sqrt(x18))) - sqrt(x64 + x51)) + (((x11 * 0.2122599) - x27) + -1.5530683))) - (x64 + sqrt(x59))) + x28) - sqrt(x57)) - -1.3017454)) - (x18 - (((sqrt(x22) + (((sqrt(x28) + (x64 - sqrt(x61))) * 5.0306845) - sqrt(x53))) - 2.7622633) - ((x61 * -0.9517391) - (x28 * -3.924135))))) + (x65 + (sqrt(x27) * 4.392888))"
